TITLE	10% S-JS before DT
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/12
TIME	16:32:11
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -1.45232
MAXY	    17.81847
MINY	   -10.90321
XYDATA
Channel 1
	0	57
396	-0.839998	-1.18939
395	-1.02158	-1.50595
394	-0.735899	-1.31197
393	-0.893598	-1.20271
392	-0.804082	-0.850061
391	-1.13064	-1.20895
390	-1.22593	-1.25359
389	-0.956623	-1.33926
388	-0.937704	-1.1703
387	-0.954532	-1.08413
386	-1.13411	-1.22978
385	-1.08551	-1.2906
384	-1.14903	-1.28857
383	-0.995574	-1.17638
382	-1.01746	-0.996831
381	-0.745775	-0.71937
380	-0.681144	-0.589179
379	-0.608485	-0.390569
378	-0.65248	-0.668847
377	-0.643421	-0.566928
376	-0.733458	-0.725381
375	-0.520394	-0.589768
374	-0.473918	-0.734692
373	-0.744653	-0.748605
372	-1.02907	-1.06899
371	-1.09588	-1.38586
370	-1.16271	-1.20034
369	-1.2086	-1.25757
368	-1.13162	-1.22198
367	-1.29284	-1.24129
366	-1.42296	-1.02238
365	-1.67299	-1.30347
364	-1.82591	-1.52315
363	-1.91557	-1.50938
362	-1.70444	-1.45873
361	-1.80576	-1.47213
360	-1.73855	-1.36453
359	-1.49529	-1.30514
358	-1.6125	-1.72908
357	-1.4596	-1.74046
356	-1.22375	-1.78754
355	-1.13042	-1.71739
354	-1.08846	-1.87241
353	-1.03433	-1.68461
352	-0.82044	-1.48903
351	-0.903561	-1.48262
350	-1.04109	-1.5043
349	-1.27916	-1.47833
348	-1.23509	-1.20502
347	-1.15994	-1.20876
346	-1.22268	-1.29925
345	-1.18125	-1.2616
344	-0.980026	-1.08673
343	-1.04753	-1.07139
342	-0.571506	-0.753115
341	-0.150182	-0.736023
340	-0.00994226	-0.605777
339	-0.00676761	-0.715234
338	-0.0414359	-0.544384
337	0.49256	-0.218229
336	0.23207	-0.107449
335	0.406468	0.0190129
334	0.356351	-0.0610646
333	0.187707	0.171208
332	0.466793	0.106446
331	0.263648	-0.0677458
330	0.295986	-0.221529
329	0.0529948	-0.429041
328	-0.0599684	-0.659254
327	0.0856996	-0.658709
326	-0.0127268	-0.712452
325	0.244901	-0.847823
324	0.544171	-0.756839
323	0.628467	-0.503269
322	0.988879	0.0583638
321	1.2501	0.0968478
320	1.43316	0.224688
319	1.52928	0.257354
318	1.80131	0.288718
317	1.98667	0.399455
316	2.23169	0.544312
315	2.41485	0.647661
314	2.44466	0.439203
313	2.37654	0.503621
312	2.66451	0.77871
311	2.66102	0.962754
310	3.05884	1.26015
309	3.07002	1.21639
308	2.73823	1.20295
307	2.79275	1.67322
306	2.79712	1.88134
305	2.99591	2.06092
304	3.11385	2.04633
303	3.19005	1.82271
302	2.87085	1.53642
301	2.54613	1.96727
300	2.81996	1.92561
Channel 2
	0	57
700	-1.45232	-1.47996
699	-1.51216	-1.41687
698	-1.38541	-1.14141
697	-1.30385	-0.914146
696	-1.29366	-0.517637
695	-1.17175	-0.803538
694	-1.30768	-0.880925
693	-1.26179	-0.631736
692	-1.1322	0.314028
691	-1.31435	0.000185587
690	-1.07683	-0.215871
689	-1.20589	-0.515956
688	-0.524906	-0.251632
687	-0.358545	-0.0549072
686	0.00385473	0.459228
685	0.195693	0.423456
684	0.107779	0.254803
683	0.270007	0.0197809
682	-0.0547889	0.308942
681	0.230187	0.838115
680	0.418595	0.747485
679	0.232185	0.500015
678	-0.129366	0.252951
677	-0.0412898	0.404852
676	-0.200363	-0.188242
675	-0.466411	-0.424966
674	-0.133832	-0.34788
673	-0.221345	-0.614016
672	-0.479587	-0.735268
671	-0.585285	-1.21255
670	-0.575403	-1.01947
669	-0.481302	-0.705203
668	-0.452489	-0.559192
667	-0.0507404	-0.0375224
666	0.0225586	0.229667
665	0.143927	0.389056
664	0.209199	0.322227
663	0.222133	0.764102
662	0.73076	0.677359
661	0.516018	0.182904
660	0.757033	0.395787
659	0.588942	0.292672
658	0.23191	0.00890338
657	0.262256	-0.139315
656	0.330832	-0.314407
655	0.108614	-0.351098
654	-0.417765	-0.373952
653	-0.51219	-0.359067
