TITLE	100%S-JS for 6 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/18
TIME	19:14:08
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -4.31711
MAXY	    23.13002
MINY	    -9.96572
XYDATA
Channel 1
	0	15	30	45	60	75	90	105	120	135	150	165	180	195	210	225	240	255	270	285	300	315	330	345	360	375	390	405	420
673	-4.52709	-4.34976	-2.91358	-4.70315	-4.03474	-3.66581	-3.99204	-4.06768	-4.76074	-4.5086	-3.84322	-4.88678	-4.82683	-5.24834	-4.28199	-5.46685	-5.51741	-5.61202	-6.00484	-6.03156	-4.43326	-4.67376	-4.69968	-4.32956	-5.11815	-4.98573	-3.40985	-3.70793	-2.94751
672	-4.23052	-4.5529	-3.31052	-4.7534	-4.48055	-3.93499	-4.20128	-4.56502	-4.61707	-5.34998	-4.54064	-4.89367	-5.35167	-5.81687	-4.79203	-5.66979	-6.39736	-5.96665	-6.17693	-6.26467	-4.75928	-4.84144	-4.69143	-4.53621	-4.9065	-5.30541	-3.5392	-3.9638	-3.31699
671	-4.45152	-4.99887	-2.94468	-5.13003	-4.61748	-4.12389	-3.96334	-4.76369	-4.80149	-5.38589	-4.68093	-4.99879	-5.53628	-5.974	-4.60848	-5.74741	-6.86569	-6.20057	-6.69015	-6.43956	-5.11244	-4.91808	-4.77804	-4.99325	-5.30332	-5.32471	-3.68305	-3.59161	-3.46725
670	-4.5103	-5.00464	-2.63008	-5.16652	-4.7362	-4.38503	-3.85293	-5.07765	-4.92082	-5.60526	-4.92992	-4.50658	-5.42781	-5.81559	-4.81277	-5.78184	-7.21253	-5.98552	-6.63953	-5.9186	-5.25609	-4.94777	-4.5588	-5.01632	-5.22969	-5.15421	-4.0034	-3.6117	-3.52606
669	-4.83944	-5.26666	-2.548	-4.84423	-4.57498	-3.9827	-3.94481	-4.85549	-4.99832	-5.67141	-4.54697	-4.41472	-4.82164	-5.58578	-4.3857	-5.69724	-6.99881	-5.59828	-6.23952	-5.93184	-5.39568	-4.86911	-4.07246	-5.18079	-4.92219	-4.55866	-3.75149	-3.41284	-3.478
668	-4.62253	-5.09028	-2.49869	-4.5319	-3.80443	-3.29711	-3.04616	-4.23921	-4.6884	-5.41336	-3.98119	-4.16479	-4.42843	-4.98934	-4.04668	-5.50159	-6.7138	-4.96288	-6.13382	-5.34894	-4.89425	-4.53777	-3.69604	-4.65108	-4.97827	-4.01385	-3.69108	-3.53463	-3.19919
667	-4.31661	-4.97819	-2.53275	-4.23742	-3.62215	-3.40864	-2.81792	-4.17963	-4.87639	-5.31081	-3.63504	-4.09026	-4.34085	-4.92186	-4.53878	-5.62363	-6.92766	-5.16852	-5.99344	-5.25749	-4.86483	-4.41764	-4.00642	-4.53905	-4.71229	-3.91779	-3.527	-3.8703	-3.09568
666	-4.29751	-4.67064	-2.40043	-4.50156	-3.50176	-3.7755	-3.43571	-4.46508	-5.15462	-5.55738	-3.9794	-4.62311	-4.53151	-5.25797	-4.52705	-5.75171	-7.20722	-5.15976	-5.87559	-5.38759	-5.14459	-4.79802	-4.09691	-4.75216	-4.923	-4.60656	-3.95802	-4.19736	-3.28103
665	-4.73026	-4.87831	-2.80756	-4.63381	-3.71564	-4.13079	-3.44643	-4.45628	-4.95918	-5.41294	-4.40915	-4.59168	-4.72035	-5.19493	-5.11632	-5.76543	-7.48664	-5.07683	-5.9942	-5.62434	-5.3542	-4.5664	-4.47182	-4.85823	-4.86461	-5.0226	-4.08795	-4.72953	-3.1611
664	-5.06637	-4.99545	-2.46847	-4.19783	-3.46817	-4.02954	-3.34546	-3.86991	-5.14972	-4.85987	-3.85934	-4.56816	-4.44119	-4.69415	-4.94177	-5.45458	-7.14595	-4.78839	-5.65638	-5.40246	-5.22306	-4.17894	-4.45451	-4.99015	-5.17694	-5.05359	-4.23541	-4.39491	-3.17497
663	-5.36345	-4.82238	-3.08013	-4.19142	-3.60684	-4.23656	-3.52501	-4.41349	-5.1846	-5.03248	-4.2365	-4.42032	-4.39287	-4.92874	-5.57242	-5.73512	-6.85721	-5.01872	-5.70712	-5.41255	-5.04518	-4.54749	-4.44864	-5.00756	-5.06748	-5.34038	-4.49193	-4.56067	-3.34333
662	-5.41088	-5.11146	-3.12086	-3.8488	-3.85724	-4.00156	-3.61029	-4.53152	-4.90608	-4.96802	-4.45232	-4.89575	-4.50933	-5.21881	-5.61912	-6.40413	-6.72584	-4.9837	-5.84464	-5.67209	-5.3093	-4.52456	-4.69617	-5.5142	-5.43428	-5.5223	-4.26939	-4.67961	-3.04385
661	-5.76329	-4.67818	-2.95176	-3.61229	-3.6183	-3.79427	-3.50257	-4.94709	-5.04201	-4.67291	-4.2544	-4.77183	-4.45623	-5.02159	-5.56194	-6.26022	-6.85665	-5.12001	-6.17945	-5.65385	-5.44646	-4.70958	-4.7189	-5.5174	-5.4573	-5.67516	-4.64855	-4.69629	-2.73052
660	-5.81568	-4.59491	-2.59033	-3.30951	-3.64353	-4.0427	-3.98659	-5.03219	-4.89952	-5.05745	-4.55344	-4.85128	-4.45237	-5.29085	-5.63902	-6.03814	-6.60908	-5.24377	-6.19086	-5.82842	-5.42455	-4.81135	-4.87581	-5.75781	-5.3473	-5.32155	-4.52924	-4.50755	-2.8445
659	-6.00398	-4.79953	-2.60316	-3.35647	-3.43422	-3.73545	-3.86962	-4.87793	-4.86505	-4.90514	-4.97248	-4.84378	-4.21087	-5.40298	-5.37378	-5.839	-6.58979	-5.27821	-6.44085	-5.82046	-5.2963	-5.08673	-4.83168	-5.65225	-5.54964	-5.30664	-4.54762	-4.26887	-2.73837
658	-6.0543	-4.87918	-2.57736	-3.03166	-3.34123	-3.26823	-3.47466	-4.54853	-4.61637	-4.3485	-4.65777	-4.56556	-3.82003	-5.1267	-5.32507	-5.56016	-6.23719	-5.50421	-6.35713	-5.73638	-5.03739	-4.66125	-4.87356	-5.4851	-5.21739	-4.81231	-4.37425	-3.79893	-2.39069
657	-6.05741	-4.51589	-2.45779	-2.50998	-3.24914	-3.18119	-3.46846	-4.75885	-4.87079	-4.36341	-4.3173	-4.34491	-3.60749	-4.85206	-5.03014	-5.78664	-5.9269	-5.61101	-6.13262	-5.7895	-5.14831	-4.51421	-4.51926	-5.55081	-5.13355	-4.58659	-4.0003	-3.39787	-2.65254
656	-5.99474	-4.5893	-2.27684	-2.54945	-3.38064	-2.977	-3.37872	-4.80378	-4.62065	-3.99349	-4.44224	-4.36877	-3.61303	-4.88788	-5.06881	-6.09505	-5.96661	-5.82064	-6.37087	-5.64168	-5.21544	-4.46388	-4.32829	-5.77941	-5.19947	-4.20868	-3.92357	-3.30114	-2.62992
