TITLE	100%S-JS after 7-30 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/18
TIME	19:18:39
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -1.86355
MAXY	    21.57214
MINY	   -24.18535
XYDATA
Channel 1
	0	1.01667
567	19.919	19.2588
566	20.5269	19.9683
565	20.9529	20.6865
564	21.5721	21.0107
563	21.3228	20.7423
562	21.253	20.011
561	20.4782	19.3015
560	19.709	18.7983
559	19.3731	17.9889
558	18.6655	17.0512
557	17.4925	16.0019
556	16.8623	14.7008
555	16.477	13.9586
554	15.6453	13.8683
553	15.274	13.0377
552	14.6809	12.7697
551	13.7772	12.1624
550	12.8846	12.4723
549	12.8637	12.3416
548	12.2669	12.3012
547	11.5988	13.2174
546	11.8484	13.072
545	12.1597	13.1573
544	12.2095	13.6063
543	12.7447	13.9255
542	13.6104	13.9227
541	13.8403	14.4866
540	14.5343	14.9938
539	14.9066	14.9704
538	15.8805	15.4192
537	16.4459	16.4437
536	17.2503	16.9675
535	17.4473	17.631
534	17.6689	18.4412
533	17.9919	18.69
532	18.1372	18.884
531	18.8463	18.7481
530	18.5522	19.3619
529	18.699	19.0858
528	18.3327	18.1617
527	18.0103	17.2443
526	16.7312	15.9722
525	16.4865	15.0599
524	15.1235	13.747
523	13.8261	12.6183
522	12.3842	11.2407
521	11.4496	10.5532
520	9.74013	9.62306
519	8.86698	8.85522
518	8.49263	7.75809
517	7.21496	7.33767
516	6.54458	6.80517
515	5.92169	6.22834
514	6.13789	5.31983
513	6.15682	4.82173
512	5.34048	4.21983
511	4.63651	3.27598
510	4.26151	3.56657
509	3.40219	2.9522
508	2.75746	2.69781
507	2.42742	2.05681
506	1.41059	1.93233
505	0.198235	1.96246
504	-0.601331	0.78983
503	-1.9541	0.808079
502	-2.3111	-0.209166
501	-2.60109	-2.10182
500	-3.97139	-2.63621
499	-4.73036	-4.08125
498	-5.44521	-4.76392
497	-5.51037	-5.88099
496	-6.07132	-6.68167
495	-6.56054	-7.76902
494	-7.32316	-8.1969
493	-7.83411	-8.39581
492	-8.79523	-9.55012
491	-10.3584	-10.6259
490	-11.0194	-11.5769
489	-12.3228	-12.9296
488	-13.7412	-14.2087
487	-14.3249	-15.6
486	-15.0652	-16.3264
485	-16.5215	-16.8408
484	-17.4787	-17.6528
483	-17.9531	-18.3942
482	-18.7426	-18.4417
481	-19.9605	-18.9161
480	-20.4271	-19.256
479	-20.9315	-19.53
478	-21.4552	-20.4068
477	-21.3232	-20.8843
476	-21.8553	-21.7358
475	-22.132	-22.1998
474	-22.599	-22.9763
473	-22.4465	-23.0226
472	-22.6543	-23.5243
471	-22.6545	-23.6639
470	-22.8144	-23.8361
469	-23.8797	-24.062
468	-24.1853	-23.8569
467	-24.0406	-24.0521
466	-23.8867	-23.7548
465	-24.1265	-24.0737
464	-23.6136	-24.0721
463	-24.011	-24.0839
462	-23.8826	-23.8607
461	-23.5336	-23.1852
460	-23.1246	-22.4937
459	-22.8785	-22.0235
458	-22.8636	-22.0113
457	-22.0158	-21.4529
456	-21.8293	-20.9352
455	-21.0544	-20.4965
454	-20.7096	-20.0221
453	-20.0708	-19.4491
452	-19.7206	-19.0129
451	-19.2012	-18.4409
450	-18.6498	-17.8602
449	-17.9636	-17.1832
448	-17.1418	-16.6196
447	-16.6604	-16.1321
446	-16.2879	-15.4325
445	-15.897	-14.9894
444	-14.6601	-14.6279
443	-13.6833	-14.3368
442	-13.1858	-13.7662
441	-12.8316	-13.382
440	-12.4405	-12.6936
439	-12.2626	-12.2776
438	-11.6791	-11.9826
437	-11.1802	-11.3124
436	-10.7983	-10.8602
435	-10.5354	-10.0892
434	-10.3473	-9.62285
433	-9.82822	-9.37153
432	-9.28341	-8.97516
431	-8.69447	-8.37126
430	-7.91801	-7.91926
429	-7.41452	-7.56911
428	-6.93666	-7.10814
427	-6.42661	-6.54829
426	-5.93074	-6.45143
425	-5.64166	-5.91359
424	-5.1752	-5.12858
423	-4.95315	-4.69426
422	-4.78354	-4.62826
421	-4.64672	-4.16564
420	-4.3996	-3.99742
419	-4.14471	-3.78838
418	-3.90359	-3.45148
417	-3.31487	-3.21652
416	-3.26214	-3.35868
415	-3.44337	-3.5425
414	-3.11787	-3.3268
413	-2.97168	-3.06427
412	-2.80581	-2.92214
411	-2.59118	-2.66641
410	-2.51435	-2.40921
409	-2.71258	-2.45962
408	-2.50085	-2.42169
407	-2.43912	-2.12504
