TITLE	100% R-JS 6hrs to 26 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/15
TIME	13:56:45
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	     2.21820
MAXY	    23.24519
MINY	    -7.87398
XYDATA
Channel 1
679	1.97626	1.03941	2.24105	1.26937	0.693109	1.42794	1.52963	0.93161	1.47348	1.68881	1.16211	1.83215	2.2869	1.31616	1.90379	1.90473	1.65583	1.3233	1.7441	2.21599	1.31486	1.64673	2.06847	1.9672	1.3923	1.36554	1.70587	2.44412	1.96775	1.6921	2.30566	1.50482	1.76404	1.10105	1.2774	0.909012	1.7903	1.70901	1.13341	1.33782	1.52691
678	1.61016	0.809684	1.84612	1.02612	0.311887	1.0936	1.54267	0.49721	1.02577	1.6382	1.12839	1.6438	2.00784	1.31994	1.62394	1.17357	1.38002	0.79078	1.78392	1.73826	0.939614	1.06862	1.45896	1.29385	1.14851	1.09042	1.34126	2.01208	1.66071	1.26154	1.61434	1.20827	1.68034	0.589222	1.00357	0.912136	1.33099	1.56307	0.740605	0.93541	1.10371
677	1.66743	0.425018	1.31971	0.717788	-0.034181	0.331753	1.53948	0.0300429	0.543785	1.36684	0.933993	1.35361	1.51964	0.739225	1.50214	0.433553	0.949664	0.799658	1.29263	1.29641	0.720487	0.913272	1.03173	1.02201	0.742186	0.864633	0.92162	1.83962	1.45908	0.910076	1.19129	0.75824	1.3772	0.0107293	0.9916	0.61308	0.811192	0.96128	0.396731	0.744792	0.896408
676	1.74618	0.610165	1.54991	0.770225	0.290297	-0.0573622	1.61006	0.258317	0.799692	1.30974	0.969429	1.51115	1.76515	0.877226	1.76984	0.632483	0.951691	0.961782	0.99838	1.34399	0.730507	1.3801	1.00743	1.12179	0.559034	1.59979	1.23311	1.75791	1.93461	1.3805	1.37218	0.763503	1.11124	0.434007	1.44869	0.872276	1.45592	1.22385	0.923542	0.964712	1.12147
675	1.11937	0.593378	1.21007	0.549244	0.11564	0.0474607	1.83065	0.584374	1.17834	1.07076	0.815617	1.44183	1.69859	1.1406	1.47197	0.267332	1.06468	0.735441	1.02553	1.77169	0.631763	1.13177	0.764033	0.920313	0.0834949	1.11695	0.893175	1.70121	1.85125	1.48635	1.18445	0.923263	1.08453	0.150021	1.08682	1.0394	1.65038	1.12541	0.962049	1.21416	0.969246
674	1.42173	0.556024	0.945717	0.299703	0.0962504	0.22823	1.8215	0.564057	0.969582	1.22945	0.561533	1.54108	1.44197	1.09712	1.38901	0.171753	0.970305	0.67459	1.18729	1.8762	0.673185	0.979794	1.02176	1.12451	0.134371	1.20459	0.923052	1.26763	1.90155	1.46885	1.25459	1.23513	1.08986	0.50862	0.836845	1.17935	1.881	1.1972	0.735824	1.34831	0.775497
673	1.03947	0.779245	0.581037	-0.105002	-0.130111	0.0500419	1.05533	0.314464	0.95805	0.866042	0.331017	0.982481	1.10828	0.704964	1.22256	0.225324	0.812232	0.436027	0.697186	1.59536	0.281232	0.910574	0.953628	0.587153	-0.0404018	0.931632	0.609937	1.03217	1.36468	1.25832	0.962644	1.12143	0.898549	0.114902	0.264127	1.01473	1.71664	1.05486	0.627969	0.909678	0.65322
672	1.01847	0.868371	-0.0937995	0.122845	-0.32075	0.202572	1.74583	0.293815	0.940152	0.477885	0.662688	0.90708	1.36923	0.66506	0.858385	-0.240832	0.66719	0.55131	0.828197	1.53461	0.529621	1.40001	0.764352	0.809303	0.0451936	0.945607	0.907654	0.654031	1.32487	1.55452	0.459864	0.828898	0.929062	0.280319	-0.207111	0.951195	1.83975	0.848318	0.619762	0.95159	1.02349
671	1.38009	0.499465	-0.254672	0.209796	-0.0582881	0.0302446	1.37487	0.545509	0.959265	0.390965	0.606097	0.566135	1.0866	0.602655	0.720178	-0.308272	0.582117	0.835874	0.629283	0.706068	0.551947	1.62075	0.9285	0.749201	0.136512	1.05014	0.80498	0.765924	1.20083	1.63349	0.608767	0.779661	0.979611	0.109744	-0.256148	1.02717	1.66004	0.967	0.459823	1.06238	1.05368
670	1.37623	0.903524	-0.196917	0.282709	0.326023	0.44257	1.51854	1.00343	0.989238	0.48948	0.526808	0.78566	1.18935	1.03121	0.658194	0.254003	0.839911	1.07735	0.588528	0.959753	0.923072	1.58193	1.10223	1.24271	0.220882	1.08836	1.01798	1.25333	1.3956	1.88075	1.04145	0.822976	1.13282	0.110666	0.248784	1.00479	2.09669	1.28934	0.829764	1.40425	0.940089
669	1.29815	0.82016	-0.0207062	0.355168	0.080855	0.468938	1.21084	0.94754	0.903109	0.605201	0.557299	0.928401	1.30471	1.14044	0.665473	0.322662	0.714788	1.05259	0.229387	1.08131	0.70881	1.66336	1.22121	1.46067	0.400242	0.619235	1.28625	1.595	1.39802	1.7425	1.27009	0.719317	1.2427	-0.112958	-0.0634759	1.08486	2.08119	1.18379	0.33678	1.45881	1.23954
668	0.889748	0.42318	-0.298649	0.144361	-0.227484	0.718119	0.765281	1.02814	0.396797	0.435756	0.239169	0.478277	1.01547	0.907524	0.325625	0.25768	0.642646	0.917353	-0.0711397	0.73878	0.698688	1.18979	1.03588	1.06271	0.69779	0.608238	0.99834	1.22109	0.995189	1.30839	1.04265	0.847612	1.1289	-0.0798106	-0.0201229	1.03221	1.87667	0.82355	-0.198344	1.41858	1.17189
667	1.21103	0.94605	-0.149529	0.652875	0.243058	0.88642	0.617028	1.07024	0.470193	0.686558	0.266346	0.3376	0.855002	0.605537	0.76327	0.971254	0.661203	0.597275	0.210505	0.86005	0.490848	0.849205	0.630406	1.43467	1.27482	0.577993	1.09157	1.00756	1.25208	1.44366	1.31304	1.09462	1.24078	0.186043	-0.0863822	0.702365	1.5202	0.990798	-0.279504	1.54204	1.27452
666	0.673018	0.630469	-0.202219	0.391309	0.0408552	0.532563	0.548761	1.07944	0.779178	0.424003	-0.143391	0.379922	0.778138	0.517597	0.642514	0.984942	0.678184	0.573449	-0.139536	0.656929	0.242368	0.981789	0.480402	1.43606	1.2533	0.251308	1.30608	1.14881	0.999453	1.45271	0.967406	0.642097	0.734956	-0.0429075	-0.235611	0.299494	1.36798	0.707339	-0.547111	1.37627	1.39589
665	0.408869	0.465049	-0.216508	0.664201	0.253038	0.667353	0.743027	1.28686	0.751715	0.653943	-0.16447	0.444164	0.591716	1.10824	0.488083	0.876476	0.731301	0.674375	-0.0823792	0.750413	0.128692	0.835106	0.0447942	1.23972	1.50382	0.502762	0.9971	0.966589	1.18334	1.23403	1.06089	0.75593	0.245137	0.0556404	0.19372	0.780245	1.03231	0.570161	-0.0115881	1.49334	1.5098
664	0.260518	0.401249	0.170461	0.735127	0.511483	0.488635	0.394869	1.35205	0.81261	1.06735	-0.787231	0.531553	0.682232	1.22132	0.840618	1.31987	0.887767	0.520067	-0.186737	0.759697	0.0813904	0.496986	0.0443878	1.49715	1.54875	0.50755	1.10407	1.23835	1.05598	1.0286	1.47517	0.985484	0.230634	0.255792	0.647824	1.05929	0.414438	0.464268	0.131295	1.79845	1.3265
663	-0.0943772	0.522831	0.15448	0.944371	0.370671	0.701342	0.506453	1.15478	0.755509	1.19069	-0.656016	0.66614	0.938347	1.17074	0.91508	1.41799	0.9739	0.403778	0.035614	0.904063	0.0673836	0.180646	-0.202977	1.42689	1.5393	0.282166	0.829542	0.996771	0.953336	0.673688	1.49844	1.13493	0.382273	0.42011	0.479757	1.19459	0.487989	0.628466	-0.0697302	1.90865	1.34541
662	0.309015	0.526822	0.661512	1.08379	0.575641	0.758086	0.771322	1.20474	1.16569	1.0319	-0.246573	0.441172	0.817404	0.957962	1.4742	1.36449	1.00851	0.498537	0.177131	1.09618	0.353764	0.422058	0.0258057	1.46604	1.65496	0.594895	0.92443	0.718655	0.861009	1.31167	1.78633	1.31101	0.312013	0.406156	0.0309356	1.31266	0.387433	0.510468	-0.158829	2.14081	1.51568
661	0.309696	0.752115	0.849992	1.5783	0.555449	1.13699	1.54125	1.722	1.44312	0.832173	-0.0125017	0.604549	0.886574	1.13565	1.54123	1.54406	1.2141	0.97523	0.235211	1.14355	0.727357	0.612112	0.0114729	1.88807	1.7598	1.25764	0.893457	0.532768	0.931774	1.79368	1.67461	1.17156	0.556545	0.813452	0.191581	1.43166	0.407332	0.817629	0.234796	2.22643	1.60973
660	0.314761	0.630625	0.864483	1.49256	0.514955	0.84237	1.50713	1.69811	1.53662	1.02429	0.203605	0.884638	1.03491	1.50628	1.58031	1.55234	1.44265	1.03946	0.391515	1.11156	0.858395	0.347793	0.826759	1.63382	1.6864	1.05182	1.00006	0.185869	1.15578	1.84969	1.89138	1.14215	0.588591	0.478343	0.146467	1.43498	0.453991	1.12891	0.0183674	2.11086	1.63965
659	0.61391	0.305647	0.826232	1.51135	0.45151	0.883512	1.56192	1.44518	1.48546	0.750852	0.321131	1.17382	1.09333	1.16971	1.44452	1.4753	1.8958	1.14532	0.341663	1.2157	1.33834	0.554082	1.12075	1.44456	1.45977	1.50938	1.47095	0.553407	1.07711	1.60445	1.85168	1.28407	0.632559	0.44528	0.583148	1.52413	0.657917	1.35319	0.107066	2.23906	1.80202
