TITLE	10% S-JS for 6 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/20
TIME	17:51:08
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  900.0000
LASTX	  300.0000
NPOINTS	     601
FIRSTY	     6.20964
MAXY	    14.40103
MINY	   -18.37549
XYDATA
Channel 1
855	0.633631	-6.92732	-6.18124	-4.94105	-2.28606	-4.41956	-8.98457	-5.37959	-8.09009	-6.05976	-5.08224	-7.10141	-10.5301	-10.011	-9.21315	-18.3026	-16.7375	-12.3998	-13.2414	-10.4404	-8.67157	-10.717	-10.2591	-10.9472	-12.0227	-8.23714	-10.7105	-11.2737	-9.59236	-13.0171	-11.5316	-9.66676	-8.63991	-7.62903	-7.71739	-11.7433	-10.8889	-13.6591
854	-3.40333	-8.63902	-7.05278	-7.48772	-3.75581	-5.76302	-11.0549	-5.68172	-9.79211	-9.33741	-7.10778	-11.0097	-11.6345	-11.2915	-11.6606	-19.8749	-19.7656	-15.3899	-14.8838	-12.8696	-11.848	-11.2163	-12.6469	-11.7824	-14.0055	-10.5501	-12.2026	-12.592	-11.8258	-13.494	-14.0678	-11.4711	-11.7413	-11.0226	-9.57994	-13.008	-12.7653	-14.9968
853	-2.7583	-5.83199	-5.77998	-6.02796	-3.31512	-5.50617	-9.46062	-6.14834	-8.27091	-9.91636	-8.33778	-10.7589	-10.5906	-11.8296	-11.4071	-19.4757	-18.486	-14.5864	-14.7823	-12.5616	-12.2279	-10.8623	-12.1296	-11.9153	-13.8721	-11.8316	-11.5907	-11.8214	-12.0921	-13.4358	-14.3206	-11.8052	-11.4745	-12.0322	-9.75946	-12.5231	-12.0181	-14.5879
852	-4.64143	-4.78699	-7.18765	-7.307	-4.44836	-7.31045	-10.2214	-8.32034	-10.3154	-11.2544	-9.28322	-11.2691	-11.4097	-12.2129	-12.4476	-19.6003	-16.9382	-16.8008	-15.2839	-13.711	-13.5855	-11.7618	-12.7252	-12.7277	-13.6471	-12.2766	-12.4087	-12.6953	-13.5139	-14.1004	-14.6044	-12.8339	-13.2523	-12.9189	-11.8018	-12.724	-12.9656	-15.2629
851	-4.98575	-4.0324	-7.5038	-4.95747	-4.62223	-7.89427	-10.4019	-7.79235	-8.74007	-9.40583	-10.2264	-9.52702	-9.83617	-12.1191	-12.0376	-18.4726	-16.7168	-16.4839	-13.4676	-12.8384	-13.269	-11.5518	-12.6994	-13.8772	-13.8088	-11.6304	-12.5677	-12.0488	-12.9466	-12.5775	-14.6672	-12.6998	-12.6261	-12.952	-12.1849	-12.9207	-12.1562	-14.8513
850	-4.9509	-5.05497	-8.45726	-5.13544	-4.35147	-9.09771	-8.93194	-8.3393	-8.0042	-8.61616	-8.86373	-9.53771	-10.1511	-10.0889	-11.4315	-17.809	-15.9099	-17.6245	-13.7564	-12.6035	-13.7913	-12.1111	-12.8197	-13.46	-14.1399	-12.5742	-13.0542	-12.5534	-12.7772	-12.7628	-14.5146	-13.1207	-13.0863	-13.9733	-12.6586	-13.1821	-12.9915	-13.2687
849	-4.77589	-5.54818	-9.12331	-6.26154	-7.23125	-9.4767	-9.28324	-8.98337	-8.65658	-8.83817	-9.18074	-10.0927	-10.8706	-10.9973	-12.2322	-18.4817	-18.0561	-18.8031	-14.0176	-13.2575	-13.6661	-13.0968	-14.1359	-13.538	-14.9975	-14.4068	-14.3909	-13.6094	-13.369	-14.0976	-15.3759	-15.3287	-14.9009	-14.2624	-13.7284	-14.9945	-13.3894	-14.6395
848	-4.4437	-5.68836	-7.61991	-6.33247	-7.35526	-9.3793	-9.04149	-9.11272	-9.00345	-9.30734	-9.23447	-9.88185	-10.4237	-11.7875	-13.0219	-18.2	-18.117	-18.1068	-14.3445	-13.2559	-13.4955	-13.4462	-13.7235	-13.3802	-14.6573	-14.2756	-13.7834	-13.9396	-13.8074	-13.5648	-15.3425	-15.2963	-14.249	-14.664	-13.2473	-14.3223	-13.3291	-14.3033
847	-2.94592	-4.5241	-6.20684	-4.94885	-7.0447	-8.65528	-7.7337	-8.1516	-8.58272	-7.95958	-9.19	-8.76495	-9.88889	-11.4557	-12.3072	-16.8026	-17.3583	-17.1083	-13.9245	-12.5636	-13.2194	-12.6585	-12.677	-12.9281	-13.4608	-14.1993	-12.1085	-12.9518	-13.1002	-13.2051	-13.6502	-14.3114	-12.189	-13.8896	-12.1493	-12.3807	-12.0545	-13.5713
846	-3.21499	-4.79767	-6.36475	-5.89307	-7.47104	-9.15721	-8.36114	-8.21915	-9.06847	-8.24944	-9.78871	-8.61693	-10.2137	-12.0083	-12.9833	-16.4975	-17.6374	-16.908	-14.1087	-12.8205	-12.5652	-13.6455	-12.4169	-13.7874	-13.5526	-13.5955	-11.9881	-12.5534	-13.378	-13.2026	-13.2517	-13.8491	-11.8464	-13.7788	-12.6457	-12.1016	-12.1356	-13.1813
845	-3.09922	-4.99378	-6.12843	-5.52708	-7.42168	-8.82042	-8.58935	-7.72607	-9.18202	-8.58047	-9.8118	-8.3767	-9.9155	-10.4709	-12.1855	-15.5221	-17.8178	-16.8574	-13.2289	-12.2585	-12.1627	-13.1484	-11.9087	-13.3574	-13.0643	-12.8095	-12.0144	-11.9665	-12.0954	-12.9705	-12.783	-12.8148	-11.3519	-13.0474	-11.3983	-11.3579	-11.385	-12.4454
844	-2.2304	-4.69919	-5.94573	-5.11461	-6.85857	-7.82341	-7.65152	-7.27839	-7.97288	-7.3146	-9.18227	-7.19586	-9.01796	-9.66618	-10.7695	-14.2393	-17.9637	-15.7274	-12.8059	-11.8897	-11.7771	-12.5521	-11.6878	-12.6777	-12.2297	-11.8689	-11.1816	-11.2756	-11.2667	-11.9149	-11.5517	-12.2116	-10.7445	-11.1987	-10.3967	-10.1343	-11.2037	-11.1249
