TITLE	40% R-JS18 hrs 20 min
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/11
TIME	12:24:39
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -5.16492
MAXY	    14.27378
MINY	    -6.08601
XYDATA
Channel 1
	0	20	40	60.0167	80.0167	100.033	120.033	140.033	160.05	180.05	200.05	220.067	240.067	260.067	280.083	300.083	320.083	340.1	360.1	380.1	400.117	420.117	440.133	460.133	480.133	500.15	520.15	540.15	560.167	580.167	600.167	620.183	640.183	660.183	680.2	700.2	720.217	740.217	760.217	780.233	800.233	820.233	840.25	860.25	880.25	900.267	920.267	940.267	960.283	980.283	1000.28	1020.3	1040.3	1060.32	1080.32
681	-5.33667	-4.77172	-5.1834	-5.12242	-5.1081	-4.18144	-4.37221	-4.55896	-3.80875	-3.42085	-4.37712	-3.3722	-3.58219	-5.29057	-4.64283	-4.20191	-4.05838	-3.83018	-4.57661	-4.18138	-4.21161	-3.91888	-4.21199	-4.67491	-4.04677	-3.25998	-4.47331	-3.96045	-3.86004	-4.40993	-3.42409	-4.76964	-4.45114	-4.52772	-3.78401	-4.14739	-4.84418	-3.94671	-3.82085	-4.04639	-3.74029	-4.11013	-3.26439	-4.33952	-4.27005	-5.08437	-4.7794	-5.46146	-6.13472	-5.72811	-6.61546	-5.85525	-5.84506	-5.93536	-5.95565
680	-5.23045	-4.42112	-5.20608	-5.01841	-4.43335	-4.23054	-4.04309	-4.5456	-4.17471	-3.08196	-4.29614	-3.52637	-3.54702	-5.54974	-4.58787	-4.20732	-3.95384	-3.94871	-4.52776	-4.24068	-3.87778	-3.80682	-4.16653	-4.80995	-3.91389	-3.41969	-4.71593	-4.09966	-4.07004	-4.22491	-3.72585	-4.4286	-4.38324	-4.35096	-3.94775	-4.39598	-4.54798	-4.18265	-3.92489	-3.7272	-3.55695	-4.2157	-3.04627	-4.30753	-3.89736	-5.13849	-4.42838	-5.59601	-5.99984	-5.59617	-6.4652	-5.91372	-5.83666	-5.99656	-5.95418
679	-5.51126	-4.7513	-5.27757	-5.18968	-4.5231	-4.60082	-4.11665	-4.62957	-4.30215	-3.10423	-4.23717	-3.71253	-3.64944	-5.48475	-4.56418	-4.25469	-4.06716	-4.49814	-4.56554	-4.50143	-3.71868	-3.86937	-4.33347	-5.20685	-4.24087	-3.50535	-5.10676	-4.26693	-4.11319	-4.2577	-3.94146	-4.22272	-4.4194	-4.53531	-3.99331	-4.55339	-4.71274	-4.29798	-4.19839	-4.10018	-3.74726	-4.27248	-3.56292	-4.5733	-3.96123	-4.81371	-4.43563	-5.42245	-6.24499	-5.88506	-6.45649	-5.63877	-5.99833	-6.29393	-6.22323
678	-5.41105	-4.71018	-5.05918	-4.92163	-4.53027	-4.30791	-4.07155	-4.27676	-4.08682	-3.14265	-3.90507	-3.70873	-3.51303	-5.15163	-4.29148	-3.77861	-3.96853	-3.9957	-4.59544	-4.55849	-3.69526	-3.81121	-4.46901	-4.92262	-4.24622	-3.10322	-5.21993	-3.88814	-3.98263	-4.05532	-4.03736	-3.99764	-4.28105	-4.33026	-3.84562	-4.29425	-4.20576	-4.13843	-3.95727	-3.70798	-3.87275	-4.33803	-3.65944	-4.18529	-4.2292	-4.44418	-4.25751	-4.92812	-5.72097	-5.3702	-6.19652	-5.28093	-5.76429	-5.92015	-5.77812
677	-5.57151	-4.69315	-5.34267	-4.86657	-4.68712	-3.99528	-4.31877	-4.64691	-4.48098	-3.3486	-4.08457	-3.86788	-3.51401	-4.84028	-4.91512	-3.96845	-4.08586	-4.18837	-4.73378	-4.4233	-3.68243	-3.94448	-4.70248	-4.91808	-4.33122	-3.15736	-5.20471	-3.9089	-3.99468	-4.19544	-4.23821	-4.25005	-4.49259	-4.67079	-4.09931	-4.49769	-4.09002	-4.14041	-3.80485	-3.73238	-4.11944	-4.92422	-3.63953	-4.06399	-4.45957	-4.2651	-4.2513	-5.16166	-5.72747	-5.62766	-6.50625	-5.37229	-5.86239	-6.19544	-6.1147
676	-5.50867	-5.1836	-5.58083	-4.51594	-4.48641	-3.84399	-4.40744	-4.14931	-4.23887	-3.2064	-3.83699	-3.70813	-3.24438	-4.12694	-4.9929	-3.79827	-3.64213	-3.99158	-4.64523	-4.34859	-3.30029	-3.28757	-4.44148	-4.51188	-4.07979	-3.25423	-4.75359	-3.64725	-3.55032	-3.97432	-4.07324	-4.0609	-4.2066	-4.39915	-4.15373	-3.88563	-3.90665	-3.76005	-3.65747	-3.28024	-3.83801	-4.71688	-3.54913	-3.8068	-4.59989	-3.69155	-4.20697	-5.05239	-5.44338	-5.79984	-5.75308	-5.17711	-5.45632	-5.72325	-5.7218
675	-5.12371	-4.61717	-5.03582	-4.09338	-4.0208	-3.37679	-4.34025	-3.89453	-3.89562	-2.98719	-3.285	-3.38	-3.00209	-3.73742	-4.56565	-3.51071	-3.49673	-3.62814	-4.30704	-3.86782	-2.90034	-2.97483	-3.7437	-3.85853	-3.67755	-2.66391	-4.53994	-3.70909	-3.05987	-3.31608	-3.75885	-3.71084	-3.99556	-3.8982	-3.85748	-3.44148	-3.64674	-3.29217	-3.06641	-3.01288	-3.92569	-4.31146	-3.20975	-3.70557	-4.30971	-3.01384	-4.05015	-4.54518	-4.7907	-5.3634	-5.38557	-5.31965	-5.10799	-5.22694	-5.4074
674	-5.01498	-4.49619	-5.02222	-4.42117	-3.46808	-3.40095	-4.13624	-3.83194	-3.71534	-2.98625	-3.03583	-3.57405	-3.18177	-3.0078	-4.37255	-3.20253	-3.45039	-3.26983	-4.27173	-3.82726	-3.34821	-2.70624	-4.02315	-3.42779	-3.2773	-2.78368	-4.3086	-3.71222	-2.63677	-3.19327	-3.52517	-3.67292	-3.9503	-3.95157	-3.38368	-3.39528	-3.27944	-3.29906	-3.19244	-3.42173	-3.68086	-4.12871	-3.00596	-3.51723	-4.29989	-3.38368	-4.15789	-4.49671	-4.80786	-5.24626	-5.45606	-5.23549	-5.08141	-5.11762	-5.41409
673	-4.59958	-4.24913	-5.02858	-4.11362	-3.13293	-3.37238	-4.10452	-3.57077	-3.78939	-2.67661	-2.7959	-3.98719	-3.55413	-3.09321	-4.14615	-3.28943	-3.27101	-3.59446	-3.99432	-3.80718	-3.35622	-2.40984	-3.92154	-3.41818	-2.87593	-2.93601	-4.02252	-3.79233	-2.65254	-2.7916	-3.69124	-3.55313	-3.76486	-3.85561	-3.45153	-3.29999	-2.72303	-3.43004	-2.82232	-3.25138	-3.42787	-4.03501	-3.07489	-3.0786	-3.66143	-3.13417	-4.09735	-4.16741	-4.15937	-4.74105	-5.09918	-5.15644	-4.61752	-4.8617	-5.02831
672	-4.77907	-4.55374	-5.17997	-4.17431	-3.69677	-3.33414	-4.53626	-3.56737	-3.88423	-3.29875	-2.79646	-4.22458	-3.76553	-3.42596	-4.48724	-3.40279	-3.62102	-3.44957	-4.13433	-3.92247	-3.7342	-2.53803	-3.69125	-3.69274	-3.10704	-2.52615	-3.82086	-3.88828	-2.68442	-3.14441	-3.72004	-3.78734	-4.32031	-3.99722	-3.62731	-3.25154	-2.81088	-3.11229	-3.20226	-3.2752	-3.25785	-4.09391	-3.36849	-3.17303	-3.66523	-3.15019	-3.94142	-4.33254	-4.46008	-4.73061	-5.19785	-4.92658	-4.81964	-4.68042	-5.02655
671	-4.66571	-4.45014	-5.085	-3.80662	-3.63855	-3.33863	-4.95088	-3.64741	-3.9918	-3.47749	-2.75545	-4.42613	-4.1352	-3.50927	-4.62522	-3.30988	-3.5566	-3.21811	-4.23973	-3.83737	-3.9783	-2.70208	-3.72354	-3.53107	-3.1251	-2.58777	-3.62984	-4.17511	-2.62551	-3.03594	-3.84538	-3.80649	-4.32002	-4.02148	-3.7808	-3.14658	-2.86352	-2.86839	-2.97811	-3.24772	-2.95075	-3.90395	-3.13248	-3.30805	-3.88794	-3.07897	-3.87134	-4.21913	-4.33065	-4.80778	-5.24213	-5.17666	-4.99971	-4.69256	-5.40983
670	-4.7888	-4.60711	-5.59625	-4.31584	-4.09527	-3.61746	-5.126	-4.40529	-4.29014	-3.8828	-2.85678	-4.65129	-4.71435	-3.69572	-4.89126	-4.04159	-3.9952	-3.89102	-4.36576	-4.03229	-4.48654	-3.01914	-4.17588	-3.82852	-3.33494	-2.9973	-4.14118	-4.32229	-3.24989	-3.43771	-4.14775	-4.27199	-4.58407	-4.48315	-4.46417	-3.72292	-3.22506	-2.94655	-3.4074	-3.60826	-2.96158	-4.1247	-3.3238	-3.70437	-3.92616	-3.48298	-4.03537	-4.41559	-4.98073	-5.40571	-5.9569	-5.74245	-5.66456	-5.10194	-5.74284
669	-4.6133	-4.42564	-5.23936	-4.24874	-3.67624	-3.66114	-4.73506	-4.16203	-3.66884	-3.23634	-2.83678	-4.19441	-4.3145	-3.68629	-4.39073	-3.76439	-3.66565	-3.67043	-3.88163	-3.47175	-4.42785	-2.45035	-3.59388	-3.50491	-3.02248	-2.8688	-3.98518	-3.8063	-2.87865	-3.39034	-3.74568	-3.87849	-4.20842	-3.94876	-4.21884	-3.44003	-2.72018	-2.45494	-3.02703	-3.25037	-3.07873	-3.74174	-2.76961	-3.35727	-3.4621	-3.40244	-3.52581	-4.41749	-4.39601	-4.57427	-5.57503	-5.24988	-5.1875	-4.93822	-5.03252
668	-4.75959	-3.96946	-5.37965	-4.41235	-3.89003	-3.86485	-4.38689	-4.67135	-3.93862	-3.02613	-2.87894	-4.46679	-4.37583	-3.98047	-4.03528	-3.62656	-3.86734	-4.18228	-4.11559	-3.53461	-4.89729	-2.62588	-4.05542	-3.63818	-2.97639	-3.19613	-4.05067	-3.93208	-3.23958	-3.51687	-3.62555	-4.14238	-4.19557	-3.98394	-4.13593	-3.85611	-2.84459	-2.32183	-3.11443	-3.56808	-3.35807	-3.50958	-2.89397	-3.73788	-2.99349	-3.58123	-3.84962	-4.47502	-4.16389	-4.8005	-5.65517	-5.52366	-5.54387	-5.07556	-5.1945
