TITLE	10% R-JS for 6 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/19
TIME	18:42:04
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  900.0000
LASTX	  300.0000
NPOINTS	     601
FIRSTY	     8.51568
MAXY	    14.14348
MINY	   -12.92692
XYDATA
Channel 1
870	-5.57523	-4.94344	-11.3233	-7.88003	-11.3257	-12.7942	-10.8292	-9.9415	-7.67912	-10.8656	-12.5775	-15.1194	-10.0512	-12.3289	-14.2988	-11.8236	-13.085	-11.6762	-10.3085	-12.5465	-9.35244	-11.8619	-14.0066	-9.75865	-9.67487	-11.7767	-11.7961	-9.24274	-9.99948	-9.67151	-7.99942	-11.9589	-14.275	-11.4259	-12.3851	-16.1023	-10.4777
869	-1.90544	-3.5664	-9.32906	-6.37688	-10.0695	-9.92333	-8.18604	-9.99143	-5.48916	-9.09433	-9.98915	-13.404	-8.10928	-10.9132	-12.6231	-9.94359	-12.0322	-11.222	-8.09528	-9.84282	-7.02568	-7.72657	-11.3847	-8.29372	-8.12917	-11.1369	-11.5201	-7.07667	-7.85771	-6.39556	-8.84583	-8.34176	-13.168	-10.0936	-10.1739	-13.4938	-9.62341
868	-2.56407	-6.54314	-8.9501	-7.16482	-9.97816	-8.15748	-7.73027	-9.1541	-6.70202	-9.29017	-12.4488	-13.8769	-7.4684	-10.6338	-13.2587	-11.2214	-11.1824	-10.1026	-7.77645	-11.075	-6.21216	-8.22052	-12.1565	-9.00048	-7.16743	-10.1772	-12.187	-7.86776	-8.65364	-7.98462	-8.65689	-8.88036	-13.2521	-10.4525	-11.5728	-12.7517	-10.8727
867	-1.44649	-5.09779	-6.658	-6.54256	-8.6332	-10.056	-5.98993	-8.5498	-5.72738	-9.48416	-12.4011	-14.0548	-8.0576	-9.07634	-13.3525	-10.3838	-11.9916	-10.7903	-7.32923	-11.4436	-6.09567	-8.25746	-11.136	-11.3226	-7.63255	-10.4473	-12.4256	-8.28383	-10.038	-7.36451	-9.46497	-8.61353	-14.1611	-12.7608	-12.7241	-10.2558	-10.0508
866	-0.244548	-3.61373	-6.46351	-4.87822	-8.4028	-10.4335	-6.43453	-7.03221	-5.87471	-8.1166	-13.0026	-12.8667	-7.19681	-8.19746	-11.8179	-9.84787	-10.3931	-9.47823	-7.18185	-10.1857	-5.63021	-8.07686	-9.08665	-10.0927	-7.19462	-8.34919	-10.8044	-6.62943	-10.0951	-8.11116	-9.29239	-9.78836	-13.1734	-12.0852	-12.8957	-9.35706	-9.90174
865	-1.03569	-5.42972	-7.57477	-5.71571	-8.80749	-9.52016	-6.37396	-7.86229	-7.31228	-7.50132	-14.8316	-13.0059	-6.57549	-6.85311	-10.7893	-9.832	-9.43465	-10.7366	-6.49019	-11.9769	-5.09418	-8.5277	-9.80245	-10.6955	-9.52843	-8.12901	-11.0371	-6.26052	-10.8401	-8.3593	-10.9455	-8.90696	-13.6772	-10.0534	-12.1034	-9.06406	-10.1053
864	0.704931	-1.42441	-6.25633	-2.36942	-5.52316	-6.6752	-4.34251	-4.13822	-3.66635	-5.66011	-11.4597	-10.0244	-4.86722	-3.22408	-6.82316	-7.0937	-6.01834	-8.18923	-3.77234	-9.44688	-3.08293	-5.77956	-7.30398	-6.4485	-5.37622	-4.62364	-8.30967	-4.63563	-8.58082	-6.24891	-10.5611	-7.08599	-11.4832	-8.15928	-9.13801	-4.7394	-9.2528
863	-1.52314	-1.17289	-6.4104	-3.49148	-7.04588	-7.57069	-6.31289	-4.53247	-5.412	-7.0311	-10.7313	-10.6113	-4.25332	-3.68569	-9.53209	-7.68132	-7.00131	-8.13945	-3.97696	-9.69923	-2.26547	-6.59207	-7.15511	-6.89441	-6.90964	-4.62256	-9.63845	-4.98149	-9.9556	-6.78689	-11.5514	-8.25311	-12.8232	-8.48987	-8.8449	-4.97257	-9.2639
862	-0.764155	-2.47539	-5.21168	-3.71026	-5.61861	-7.82786	-4.87254	-3.10578	-6.79722	-5.93178	-9.26861	-10.3452	-4.49057	-3.77906	-8.84113	-7.28922	-7.28876	-8.02391	-3.41924	-9.92374	-1.91465	-5.57399	-6.50637	-7.45566	-7.92751	-4.29427	-8.92262	-5.9295	-7.72607	-5.84525	-10.4205	-7.46979	-12.5482	-8.02862	-7.65102	-3.86475	-7.79894
861	-2.4905	-3.38161	-5.60389	-4.37975	-6.14183	-9.51376	-6.23801	-3.41213	-8.48658	-6.75922	-9.91518	-10.3315	-4.48389	-4.73407	-9.54293	-7.99801	-10.3631	-8.73869	-4.51663	-10.7435	-3.67255	-8.90412	-9.10061	-9.27183	-8.75994	-4.6709	-10.4354	-6.16402	-8.95785	-6.75563	-9.87295	-8.84999	-14.4461	-8.80062	-10.6723	-6.57017	-7.87897
860	-3.09877	-2.7993	-5.6107	-3.41197	-6.1413	-8.9325	-6.69594	-2.19084	-7.45511	-6.2898	-8.02035	-10.8449	-4.40752	-5.29831	-6.8879	-7.71794	-11.1467	-10.5791	-5.9229	-11.1881	-4.6346	-9.16829	-8.02514	-10.0432	-8.61482	-5.61927	-11.0986	-5.93793	-10.0557	-6.73863	-7.35671	-7.59583	-13.5981	-8.67766	-10.8354	-5.18423	-7.6945
