TITLE	100% R-JS for 6hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/14
TIME	17:45:34
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -6.43526
MAXY	     5.68291
MINY	    -9.83073
XYDATA
Channel 1
678	-1.91516	-2.68289	-1.13877	-2.28708	-4.08021	-3.3553	-1.74562	-0.64337	-1.41412	-0.489159	-1.03332	-1.34713	-1.90933	-1.82065	-2.72275	-2.09566	-2.78603	-1.44919	-0.987838	-2.59026	-1.30427	-1.10836	-0.895016	-0.823281	-1.10792	-1.14028	-0.607617	0.113597	-0.756824	-0.445964	-1.13226	-0.409278	-0.806911	-0.759161	-0.414606	-0.351286	-0.542242
677	-1.923	-3.56921	-1.83937	-2.689	-4.26589	-3.32947	-2.17607	-1.0706	-2.12488	-0.9071	-1.32903	-1.78441	-2.49233	-2.09355	-3.30823	-2.41569	-3.31205	-2.01585	-1.20827	-3.09381	-1.65261	-1.43226	-1.26774	-1.33916	-1.94553	-1.21407	-0.721101	-0.543664	-1.13492	-1.19796	-1.59873	-0.737267	-0.859677	-1.15447	-0.849218	-0.90989	-0.622393
676	-1.67093	-3.61116	-2.40794	-1.68789	-4.35661	-3.31476	-1.8824	-0.611654	-1.65306	-0.477489	-0.788462	-1.69758	-1.95695	-1.71429	-2.82049	-1.82984	-2.88327	-1.56922	-1.16774	-2.60602	-0.88595	-0.85705	-0.792398	-0.785354	-1.44651	-0.722712	-0.35526	-0.122127	-0.864812	-1.06904	-1.1057	-0.547628	-0.755233	-0.866593	-0.469866	-0.557704	-0.357145
675	-1.80773	-3.27511	-1.63724	-1.84916	-4.4155	-3.35714	-2.31788	-0.546759	-1.56353	-0.355599	-0.366599	-1.24934	-1.93723	-1.45614	-2.71755	-2.10764	-2.33832	-1.70639	-0.980788	-2.39987	-1.06607	-0.635641	-1.19271	-0.765151	-1.01641	-0.604458	-0.140391	-0.228133	-1.08018	-1.03551	-0.943405	-0.114358	-0.248314	-0.604831	-0.318835	-0.665677	-0.303197
674	-2.9525	-3.7346	-2.06526	-1.71945	-5.24836	-3.49506	-2.6587	-1.05299	-1.78523	-0.25326	-0.96837	-2.09797	-1.97871	-1.87859	-3.30368	-2.35302	-2.99882	-2.1478	-1.28081	-2.54523	-1.10709	-0.904496	-1.72206	-0.681543	-1.35595	-1.30517	-0.492628	-0.856975	-1.17182	-1.57664	-0.984857	-0.589596	-0.790492	-1.22169	-0.874393	-1.2112	-0.183397
673	-3.17786	-4.03315	-1.83266	-2.5438	-5.54161	-3.83212	-3.143	-1.35232	-2.00621	-0.598678	-1.34663	-2.11254	-2.18834	-2.31475	-3.32832	-3.22442	-2.8553	-2.58136	-1.3624	-2.63712	-1.39058	-1.55936	-2.20705	-0.979161	-1.98424	-1.84965	-0.694815	-1.14319	-1.7089	-1.80771	-0.917974	-0.968574	-0.967062	-1.38044	-1.28126	-1.59079	-0.381701
672	-2.81108	-3.35882	-1.59653	-2.70924	-5.12097	-3.49404	-2.78193	-1.24378	-1.53279	-0.245997	-0.762481	-1.57024	-1.67173	-2.04259	-2.81356	-2.57271	-2.48333	-2.43077	-1.10709	-2.22265	-1.01897	-1.12352	-1.9266	-0.551848	-1.66658	-1.66885	-0.361707	-0.828782	-1.23093	-1.5651	-0.970963	-0.861255	-0.755162	-0.876516	-0.628307	-1.12547	-0.0541718
671	-3.20455	-3.4136	-1.7093	-1.54282	-5.5413	-3.85894	-2.88518	-1.22438	-1.41408	-0.728582	-0.606216	-0.983987	-1.61949	-2.32869	-2.58527	-2.5126	-2.39235	-2.42227	-1.51464	-1.63769	-1.22625	-1.02077	-1.6751	-0.39588	-2.06131	-1.47242	-0.689423	-1.5058	-1.21424	-1.55454	-1.10583	-1.00196	-1.12081	-1.20012	-0.440623	-1.11048	-0.346335
670	-3.82031	-2.91497	-1.30535	-2.06966	-6.01331	-4.14925	-3.16538	-1.4288	-1.10983	-0.576777	-1.11023	-1.24696	-1.66597	-2.38313	-2.41371	-2.57874	-2.63641	-2.48762	-1.61909	-1.46217	-0.887287	-1.24379	-1.59187	-0.58201	-2.06477	-1.45843	-0.922111	-1.79273	-1.40047	-1.44288	-1.45821	-1.44824	-0.8414	-1.33391	-0.71082	-1.12511	-0.260059
669	-4.18642	-3.11059	-1.34636	-1.89651	-6.1761	-3.83145	-3.18171	-1.69822	-0.415822	-0.406785	-1.12838	-1.46025	-1.21132	-2.63118	-2.1019	-2.49257	-2.20041	-2.27321	-1.45587	-1.10845	-0.871511	-1.15707	-1.33862	-0.376839	-1.43977	-1.49091	-0.533103	-1.36352	-1.39559	-1.32977	-1.28912	-1.26263	-0.718067	-0.887273	-0.503091	-0.826049	-0.168697
668	-3.90911	-3.23571	-1.06361	-2.59536	-6.39345	-4.55065	-3.22387	-1.96583	-0.735192	-0.659911	-1.39043	-1.70051	-1.59091	-2.81367	-2.52894	-2.97586	-2.34426	-2.51849	-1.67422	-1.41994	-1.18825	-1.36562	-1.88766	-0.777163	-1.44033	-2.09052	-0.973006	-1.81025	-1.74378	-1.50619	-1.8831	-1.43552	-0.802215	-1.25321	-0.684964	-1.18266	-0.541959
667	-3.60816	-3.20537	-1.07789	-3.51194	-6.59444	-4.56753	-3.63507	-2.14193	-0.932654	-0.839499	-1.68559	-1.94259	-1.69255	-2.57519	-2.8539	-2.63463	-2.55121	-2.52949	-1.82415	-1.23498	-0.675896	-1.68322	-1.48796	-0.568352	-1.77373	-2.36037	-1.24852	-1.6509	-1.44833	-1.57278	-1.97607	-0.84562	-1.10079	-1.30008	-0.830835	-1.12086	-0.733605
666	-2.89925	-3.57301	-1.15133	-3.6888	-6.68536	-4.86057	-3.58536	-2.29869	-1.06858	-1.00088	-1.86618	-1.54043	-1.71304	-2.72148	-2.91849	-2.94144	-2.3057	-2.38096	-1.79365	-1.47969	-0.938317	-1.6846	-1.31516	-0.845781	-2.01629	-2.22823	-1.24568	-1.23242	-1.37746	-1.28062	-2.09	-1.01806	-0.887251	-1.02788	-0.444345	-0.839604	-0.987921
665	-2.21767	-3.17981	-0.920269	-2.9103	-6.52705	-5.19642	-3.34237	-2.13358	-0.969932	-1.18683	-1.90263	-1.45348	-1.59198	-2.48007	-3.22693	-2.83485	-2.27446	-2.07421	-1.7939	-1.48019	-1.07594	-1.47882	-0.990291	-0.736706	-1.87189	-2.02966	-1.03171	-1.31808	-1.29175	-1.40026	-2.11956	-0.788761	-0.818718	-0.890441	-0.350632	-0.910335	-1.22224
664	-1.80308	-3.19273	-1.06097	-2.7132	-6.69426	-5.57691	-3.27723	-2.03589	-1.15062	-1.83506	-2.13836	-1.80065	-1.83609	-2.50468	-3.13129	-3.01069	-2.39331	-2.18534	-1.84242	-1.48681	-1.24294	-1.41563	-0.735572	-0.735006	-2.03434	-1.69609	-1.34491	-1.46816	-1.14003	-1.36022	-1.94904	-0.595991	-0.920515	-0.980676	-0.321506	-0.831689	-1.32112
663	-1.18645	-3.05178	-1.44417	-2.82765	-6.40637	-5.52044	-3.32612	-1.72851	-1.18012	-1.46541	-2.0982	-1.84824	-2.05807	-2.01449	-3.15639	-2.65632	-2.39143	-2.04138	-1.53932	-2.01887	-1.10103	-1.4424	-0.279608	-0.660895	-1.56866	-1.36038	-0.859508	-0.66963	-0.94563	-0.926079	-1.62028	-0.434292	-0.33628	-0.412999	-0.336906	-0.708019	-0.951126
662	-0.586415	-2.54785	-1.81963	-2.05586	-5.9153	-5.31384	-3.04715	-1.92361	-1.20457	-1.77493	-1.79427	-1.70468	-1.74319	-1.95763	-3.3987	-2.4692	-2.54458	-1.92631	-1.50057	-1.96877	-1.30594	-1.44107	-0.243122	-0.797335	-1.32891	-1.20785	-0.816902	-0.625717	-1.10003	-0.929635	-1.49193	0.167223	-0.556014	-0.124584	-0.26282	-0.363135	-0.76491
661	-0.082746	-1.64635	-0.675316	-1.27927	-5.40427	-5.18076	-2.72736	-1.38605	-1.10528	-1.58642	-1.49162	-1.26194	-1.5405	-1.50478	-2.98065	-2.06195	-2.61594	-1.72295	-1.48558	-1.66804	-0.860212	-0.793153	-0.0186439	-0.510872	-0.595034	-0.865647	-0.522393	-0.205363	-0.775384	-0.374324	-0.70702	0.517948	-0.322907	0.153785	-0.117113	0.176937	-0.253736
660	-0.226893	-1.31613	-1.12437	-0.450631	-5.1371	-4.47403	-2.49748	-0.906605	-0.919643	-1.35505	-1.60967	-0.847385	-1.01067	-1.43317	-2.55376	-2.04991	-2.65915	-1.60909	-1.04704	-1.12011	-0.760027	-0.523603	0.18715	-0.591085	-0.42967	-0.376785	-0.0984896	-0.0600708	-0.454542	-0.0508612	-0.246754	0.636995	-0.37457	0.266334	0.11192	0.282887	0.0813363
659	-0.509821	-1.43484	-1.42351	-0.263697	-4.9292	-4.74987	-2.60583	-1.5509	-1.03015	-2.09346	-2.10977	-1.29192	-1.51398	-2.318	-3.10472	-2.79806	-3.01465	-1.81563	-1.17647	-1.85835	-1.0289	-0.84921	-0.410273	-1.18043	-0.911166	-0.65928	-0.0345613	-0.242597	-0.682471	-0.421046	-0.748413	0.0592578	-0.736279	0.246211	-0.153651	-0.028669	-0.466365
658	-0.901571	-0.892892	-0.88241	-0.731549	-4.33962	-4.76687	-2.76288	-1.15598	-0.936216	-2.34542	-1.83747	-1.49486	-1.42761	-2.23183	-3.09834	-2.67391	-3.16195	-2.14307	-1.09244	-1.6277	-1.05427	-0.717975	-0.297183	-1.00911	-0.748584	-0.0912683	-0.137419	-0.523226	-0.523682	-0.511433	-0.868051	0.396068	-0.718403	0.113073	-0.486301	-0.266891	-0.0408343
657	-0.470841	-0.728068	-0.963945	-0.687683	-4.17879	-3.97573	-2.85013	-1.20023	-1.08414	-1.8451	-1.42503	-1.34058	-1.47074	-2.08047	-2.55035	-2.5642	-2.89086	-1.82259	-0.789024	-1.00254	-0.702018	-0.230858	0.0220442	-0.568875	-0.000739087	0.521797	0.0111339	-0.226663	0.0354853	-0.321436	-0.416035	0.314845	-0.303845	0.25533	-0.0451121	0.225798	0.431772
